PhysicalVolume LogicalVolume MotherLogicalVolume
Cryostat_Inner_SS_UpperTubeFlange Cryostat_Inner_SS_UpperTubeFlange_log Cryostat_Vacuum_log
Cryostat_Inner_SS_TopFlange1 Cryostat_Inner_SS_TopFlange1_log Cryostat_Vacuum_log
Cryostat_Inner_SS_TopFlange2 Cryostat_Inner_SS_TopFlange2_log Cryostat_Vacuum_log
GXe_Cryostat_extravolume GXe_Cryostat_extravolume_log Cryostat_Vacuum_log
Cryostat_CF16line_1 Cryostat_CF16lines_log Cryostat_Vacuum_log
Cryostat_CF40line_1 Cryostat_CF40lines_log Cryostat_Vacuum_log
Cryostat_CF40line_2 Cryostat_CF40lines_log Cryostat_Vacuum_log
Cryostat_CF40line_3 Cryostat_CF40lines_log Cryostat_Vacuum_log
Cryostat_sampletube Cryostat_sampletube_log Cryostat_Vacuum_log
Cryostat_Cu_heater Cryostat_Cu_heater_log Cryostat_Vacuum_log
CryostatVolume Cryostat_Envelop_log LabVolume
TPCVolume TPC_Logical GXe_Cryostat_TPCEnvelop_log
